"path","bytes","md5"
"results/figures/dispersion_plot.png",505694,"24ad93bc7ee8d56bf4ced6b98d4e1a57"
"results/figures/go_dotplot.png",500804,"67fff951fbd53390334375ee84df802f"
"results/figures/kegg_dotplot.png",443704,"fa05cd5ad9f3d1046aeebd83c6f73326"
"results/figures/ma_plot.png",678515,"7110b781f954801398920463b3974f78"
"results/figures/pathway_diagram.png",342418,"9e6345e0a436b411d72ebda295d7fd76"
"results/figures/pca_plot.png",257242,"bb9aeb68d36a090f31825c308827910b"
"results/figures/pca_scree.png",172959,"580e94c17877221ce49e121964ae7513"
"results/figures/pca_sex_stratified.png",205728,"3c10f6413a02c9e684551fdbfa241d12"
"results/figures/qc_library_size.png",302762,"e63c4f1a6a77c9f9e15a752737edf155"
"results/figures/sample_distances.png",342140,"5658db50d4aa5bb498d5032af8258d13"
"results/figures/sensitivity_lfc_scatter.png",654130,"cc8ab93c82653b6ffb68abca6f2b5f83"
"results/figures/sex_interaction_volcano.png",619575,"ccf483f2c66562f1a5b1acc3df76f527"
"results/figures/top50_heatmap.png",475753,"a6c0563044c6a7a261b1eb6893729883"
"results/figures/viral_load_ct_distribution.png",134209,"2767a9d8a588e087e05c0710bf691836"
"results/figures/viral_load_isg_correlation.png",524869,"ccaa04a2f4c716c6196587c3b81402a1"
"results/figures/viral_load_volcano.png",543042,"18c4dc222a8fe5c518c58d755c3050ef"
"results/figures/volcano_plot.png",579141,"b306cae707412da5cbeeee5285593256"
"results/tables/analysis_summary.csv",451,"c36ab48fef1b91b3ffc2660501bed10a"
"results/tables/deseq2_results_shrunken.csv",1634699,"f7997b9e23b8d8f333a62dcd40aa81d4"
"results/tables/deseq2_results.csv",1629915,"55b5443669b9273ea803bba9c95d61b1"
"results/tables/full_cohort_deseq2_results.csv",2762171,"86587ccc81941a606ee0e908eb2d2501"
"results/tables/go_biological_process.csv",142506,"ec7ea045881bb700a6376aa84998033f"
"results/tables/kegg_pathways.csv",9894,"65c571c2c112082722296692f9a5afcb"
"results/tables/sex_analysis_summary.csv",167,"d1201d896d5e2d0780114ccfd20d1c98"
"results/tables/sex_interaction_de_results.csv",2085625,"30c1138fa3ae35887084b605c2582cb4"
"results/tables/top_genes.csv",670,"b5c3dfd5f7dcf078ac512af37fa36b68"
"results/tables/viral_load_de_results.csv",2276277,"46d6160b57565f2a7244d0228517b17a"
"results/tables/viral_load_summary.csv",162,"5affeb45ca4a2421202f05b31d2e21f9"
